conversation_id,timestamp,customer_message,intent,difficulty,turn_count,expected_action,escalation_recommendation,escalation_reason,historical_brand_response,labeler_notes
conv_231797,2017-10-03T04:02:21Z,And I am still waiting for my order which is showing out for delivery for 4 days..customer service took 11 miutes still couldn't clear. https://t.co/gACHtDftGZ,ORDER_DELIVERY_AND_TRACKING,easy,2,TRACK_SHIPMENT_AND_CARRIER_UPDATE,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.","@309902 I'm sorry for the inconvenience. To clarify, when you contacted customer service, what information did we provide? ^GM","Prototypical, unambiguous order delivery and tracking query with clear keywords."
conv_180377,2017-10-04T11:42:08Z,"After canceled orders and delayed order, the only thing left was your customer executives raising their voice. Pathetic services",ORDER_DELIVERY_AND_TRACKING,easy,2,TRACK_SHIPMENT_AND_CARRIER_UPDATE,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@158425 We're sorry for the inconvenience. Please share your details in this link here: https://t.co/GIJyeYqKE0 and we'll help you. ^ZH,"Prototypical, unambiguous order delivery and tracking query with clear keywords."
conv_180584,2017-10-04T12:25:03Z,"assured delivery date was 3OCT, it has not even dispatched yet! Doing the service chat everyday, agent gives only excuses, false promises",ORDER_DELIVERY_AND_TRACKING,easy,2,TRACK_SHIPMENT_AND_CARRIER_UPDATE,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@158457 Sorry about that. Kindly drop in your details here: https://t.co/AfSkpi4lR6 and we'll work on it. ^NS,"Prototypical, unambiguous order delivery and tracking query with clear keywords."
conv_197714,2017-10-04T14:13:41Z,AMAZON IN INDIA Deliver Damage good to there customer This is the tracking I.D. 216230107345 with following items:,ORDER_DELIVERY_AND_TRACKING,easy,2,TRACK_SHIPMENT_AND_CARRIER_UPDATE,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@162500 Sorry for the trouble. Kindly report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN,"Prototypical, unambiguous order delivery and tracking query with clear keywords."
conv_191806,2017-10-04T15:09:13Z,Delivery date changed to 19th October! What is going on @115821!? #justiceforLB https://t.co/lGcEvFubIY,ORDER_DELIVERY_AND_TRACKING,easy,2,TRACK_SHIPMENT_AND_CARRIER_UPDATE,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.","@161073 I'm sorry that your order's delayed, Katherine! What's the original delivery date given at checkout/email confirmation?^FR","Prototypical, unambiguous order delivery and tracking query with clear keywords."
conv_182599,2017-10-04T17:14:22Z,"My parcel has been ""out for delivery"" for nearly 8 hours, where is it and when will it be here😫 @AmazonHelp",ORDER_DELIVERY_AND_TRACKING,easy,2,TRACK_SHIPMENT_AND_CARRIER_UPDATE,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@158939 I'm sorry for the wait! Deliveries are made until 21:00. Please let us know if it doesn't arrive by then. ^WJ,"Prototypical, unambiguous order delivery and tracking query with clear keywords."
conv_210326,2017-10-04T18:29:04Z,... where is my order. U guys dont hve particular update abt my escalation ... is this the kind of services ur providing...,ORDER_DELIVERY_AND_TRACKING,easy,2,TRACK_SHIPMENT_AND_CARRIER_UPDATE,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.","@165780 I'm sorry to know your order isn't delivered. Kindly fill in your details here: https://t.co/GIJyeYqKE0, I'll look into it. ^NR","Prototypical, unambiguous order delivery and tracking query with clear keywords."
conv_210328,2017-10-04T18:43:13Z,WHERE IS MY PACKAGE @AmazonHelp,ORDER_DELIVERY_AND_TRACKING,easy,2,TRACK_SHIPMENT_AND_CARRIER_UPDATE,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.","@165781 Hey, we'd like to help out! Most deliveries are made until 8 PM. What does the tracking say here: https://t.co/Y5jpI9gRhE? ^WJ","Prototypical, unambiguous order delivery and tracking query with clear keywords."
conv_210308,2017-10-04T18:44:03Z,I have a proof that your accounts team can not differentiate between purchased date and delivery date of a product.,ORDER_DELIVERY_AND_TRACKING,easy,2,TRACK_SHIPMENT_AND_CARRIER_UPDATE,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.","@165778 If any of your concern remains unresolved, please revert to our latest correspondence and we'll get back. ^YP","Prototypical, unambiguous order delivery and tracking query with clear keywords."
conv_210304,2017-10-04T18:50:30Z,"pay next day - Now expected 4 Oct - 6 Oct We’re sorry your parcel is late. If it hasn’t arrived by Saturday, 7 Oct - seems legit.",ORDER_DELIVERY_AND_TRACKING,easy,2,TRACK_SHIPMENT_AND_CARRIER_UPDATE,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@165777 Please contact my colleagues from the customer service: https://t.co/ohyvGrpvrY They will be pleased to assist you. ^BL,"Prototypical, unambiguous order delivery and tracking query with clear keywords."
conv_206973,2017-10-04T21:20:55Z,"Watched the @118706 try to shove an @115821 package in my mailbox yesterday. By the time I beshoed, she had gone with it - marked delivered.",ORDER_DELIVERY_AND_TRACKING,easy,2,INVESTIGATE_FALSE_DELIVERY,escalate_human_agent,Customer issue requires private verification or multi-turn escalation.,@165007 That's not what we like to hear! Please contact us here so we can look into this with you: https://t.co/EKXRLsnxJu ^GG,"Prototypical, unambiguous order delivery and tracking query with clear keywords."
conv_206760,2017-10-04T21:39:32Z,"So @115821 is really bad with their ""next day deliveries"", it's been two days since a book was ordered for me and it still hasn't arrived.",ORDER_DELIVERY_AND_TRACKING,easy,2,TRACK_SHIPMENT_AND_CARRIER_UPDATE,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@164969 Oh no! We'd like to help. What's the latest tracking showing here: https://t.co/aaDyEz1VgE ^NM,"Prototypical, unambiguous order delivery and tracking query with clear keywords."
conv_218151,2017-10-04T22:20:44Z,Your tracking info says it's still out fir delivery??????,ORDER_DELIVERY_AND_TRACKING,easy,2,TRACK_SHIPMENT_AND_CARRIER_UPDATE,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.","@168011 Oh no, David! I'm sorry for the trouble with your delivery! We'd like to look into this with you here: https://t.co/JzP7hlA23B ^TG","Prototypical, unambiguous order delivery and tracking query with clear keywords."
conv_351646,2017-09-20T19:23:35Z,What should i do if my order is not delivered to me but showing delivered in my orders?,ORDER_DELIVERY_AND_TRACKING,medium,4,INVESTIGATE_FALSE_DELIVERY,escalate_human_agent,Package marked delivered but missing; requires carrier investigation.,@199646 Please stay tuned for any further update on this. ^SG,Conversational query with multi-sentence context (4 turns) reflecting customer context.
conv_1104401,2017-09-23T13:15:16Z,Great India festival sale. Order which was out for delivery more than 38 hour before not reached to me till now @@115850 . So called best,ORDER_DELIVERY_AND_TRACKING,medium,4,TRACK_SHIPMENT_AND_CARRIER_UPDATE,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@380620 Sorry for the trouble. Kindly report this to our support team here: https://t.co/vlvfJr4nN9 and we'll check this. ^HN,Conversational query with multi-sentence context (4 turns) reflecting customer context.
conv_227719,2017-09-29T12:45:02Z,AMZN says it has left Krefeld (to Munich?) @AmazonHelp knows where the package is but you don't? Your site tracking is blocked to ystd 1 am!,ORDER_DELIVERY_AND_TRACKING,medium,4,TRACK_SHIPMENT_AND_CARRIER_UPDATE,escalate_human_agent,Customer issue requires private verification or multi-turn escalation.,"@170304 Hi, Could we solve your problem with the package already? ^SI",Conversational query with multi-sentence context (4 turns) reflecting customer context.
conv_179924,2017-10-03T08:05:45Z,I’m surprised by d pathetic support recd on my super-delayed order. D seller and ur exec asked me2go collect it from post office. https://t.co/oM4UaqyAiN,ORDER_DELIVERY_AND_TRACKING,medium,4,TRACK_SHIPMENT_AND_CARRIER_UPDATE,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@158354 Please share your details from the link here: https://t.co/beaaDm0muc and we will assist you accordingly. (2/2)^HR,Conversational query with multi-sentence context (4 turns) reflecting customer context.
conv_388797,2017-10-03T09:14:30Z,Worst shopping n service. Unable to deliver the package even after 10 days of scheduled delivery date. Feeling cheated by Amazon,ORDER_DELIVERY_AND_TRACKING,medium,4,TRACK_SHIPMENT_AND_CARRIER_UPDATE,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@207999 Apologies for the trouble. Have you tried reporting this to our support team here: https://t.co/2t6DQoUmNZ ? ^AB,Conversational query with multi-sentence context (4 turns) reflecting customer context.
conv_261746,2017-10-03T21:30:39Z,Said they were lost in transit. https://t.co/MEPu5OwRnC,ORDER_DELIVERY_AND_TRACKING,medium,5,TRACK_SHIPMENT_AND_CARRIER_UPDATE,escalate_human_agent,Customer issue requires private verification or multi-turn escalation.,"@178328 Oh no! Sorry to see your orders weren't deliverable, Ted. Have we sent any additional information or option by email? ^JD",Conversational query with multi-sentence context (5 turns) reflecting customer context.
conv_240517,2017-10-04T05:34:09Z,Amazon emailed me that my laptop charger delivery date has been delayed. I ORDERED IT SEPT 26TH WITH TWO DAY SHIPPING.,ORDER_DELIVERY_AND_TRACKING,medium,4,TRACK_SHIPMENT_AND_CARRIER_UPDATE,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@173127 I'm sorry for the delay! Which carrier is assigned to your order? Does the tracking on their website give any clarity? ^MV,Conversational query with multi-sentence context (4 turns) reflecting customer context.
conv_754088,2017-10-04T05:53:43Z,when I ordered on sep 23 this was in stock. But now the delivery date remains pending. Please clarify what is going on. https://t.co/3hZ2eb7ZI2,ORDER_DELIVERY_AND_TRACKING,medium,4,TRACK_SHIPMENT_AND_CARRIER_UPDATE,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.",@300245 Hi Emiel- We wouldn't have access to your order from here. Some items require longer in the dispatch process. ^NV,Conversational query with multi-sentence context (4 turns) reflecting customer context.
conv_180480,2017-10-04T12:08:41Z,Still havent recieved my parcel. Could you track where abouts this is please. The tracking number is A10040684583,ORDER_DELIVERY_AND_TRACKING,medium,4,TRACK_SHIPMENT_AND_CARRIER_UPDATE,auto_handle,"Can be resolved autonomously with self-service link, policy guidance, or tracking update.","@158441 Hi Aaron, sorry to hear. Which website did you place the order on Amazon .com / co.uk etc ? ^TP",Conversational query with multi-sentence context (4 turns) reflecting customer context.
